종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
5180,빙그레,55900,-600,-1.06,KOSPI,음식료품,5.50684E+11,3944,14.17,59843,0.93,1600,2.86
78130,국일제지,4300,-115,-2.6,KOSDAQ,종이·목재,5.48755E+11,NA,NA,548,7.85,0,0
27360,아주IB투자,4580,-35,-0.76,KOSDAQ,금융,5.48751E+11,429,10.68,1763,2.6,50,1.09
36930,주성엔지니어링,11350,-400,-3.4,KOSDAQ,반도체,5.47629E+11,NA,NA,4713,2.41,0,0
91700,파트론,10100,0,0,KOSDAQ,IT부품,5.4698E+11,431,23.43,6486,1.56,250,2.48
60720,KH바텍,23100,-400,-1.7,KOSDAQ,IT부품,5.46949E+11,NA,NA,7447,3.1,0,0
123890,한국자산신탁,4410,-50,-1.12,KOSPI,기타금융,5.46742E+11,1062,4.15,6202,0.71,220,4.99
65660,안트로젠,58000,-2500,-4.13,KOSDAQ,유통,5.46467E+11,NA,NA,8915,6.51,0,0
38500,삼표시멘트,5090,70,1.39,KOSDAQ,비금속,5.46448E+11,128,39.77,5988,0.85,75,1.47
115390,락앤락,10300,-100,-0.96,KOSPI,화학,5.45979E+11,219,47.03,12548,0.82,0,0
27410,BGF,5700,-60,-1.04,KOSPI,기타금융,5.45586E+11,285,20,15781,0.36,110,1.93
36810,에프에스티,25000,-450,-1.77,KOSDAQ,반도체,5.4392E+11,1026,24.37,6473,3.86,100,0.4
58820,CMG제약,3915,-55,-1.39,KOSDAQ,제약,5.43763E+11,2,1957.5,1304,3,0,0
37560,LG헬로비전,7010,-140,-1.96,KOSPI,서비스업,5.42903E+11,NA,NA,8149,0.86,75,1.07
267980,매일유업,69200,-1100,-1.56,KOSDAQ,음식료·담배,5.4278E+11,7498,9.23,56113,1.23,800,1.16
81000,일진다이아,38150,0,0,KOSPI,화학,5.41843E+11,511,74.66,12787,2.98,300,0.79
185490,아이진,25200,300,1.2,KOSDAQ,기타서비스,5.39519E+11,NA,NA,832,30.29,0,0
20120,키다리스튜디오,16200,-300,-1.82,KOSPI,서비스업,5.39409E+11,4,4050,1469,11.03,0,0
67000,조이시티,11850,-50,-0.42,KOSDAQ,디지털컨텐츠,5.38849E+11,297,39.9,1761,6.73,0,0
